+-----+--------------------------------------------+-------------------------+-------------------------+-------------+----------------+----------+------------+
|  ID | Registry name                              | Biome Name              | waterColorMultiplier    | temperature | temp. category | rainfall | enableSnow |
+-----+--------------------------------------------+-------------------------+-------------------------+-------------+----------------+----------+------------+
|   0 | minecraft:ocean                            | Ocean                   | 0x00FFFFFF (  16777215) |        0.50 | OCEAN          |     0.50 |      false |
|   1 | minecraft:plains                           | Plains                  | 0x00FFFFFF (  16777215) |        0.80 | MEDIUM         |     0.40 |      false |
|   2 | minecraft:desert                           | Desert                  | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
|   3 | minecraft:extreme_hills                    | Extreme Hills           | 0x00FFFFFF (  16777215) |        0.20 | MEDIUM         |     0.30 |      false |
|   4 | minecraft:forest                           | Forest                  | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     0.80 |      false |
|   5 | minecraft:taiga                            | Taiga                   | 0x00FFFFFF (  16777215) |        0.25 | MEDIUM         |     0.80 |      false |
|   6 | minecraft:swampland                        | Swampland               | 0x00E0FFAE (  14745518) |        0.80 | MEDIUM         |     0.90 |      false |
|   7 | minecraft:river                            | River                   | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.50 |      false |
|   8 | minecraft:hell                             | Hell                    | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
|   9 | minecraft:sky                              | The End                 | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.50 |      false |
|  10 | minecraft:frozen_ocean                     | FrozenOcean             | 0x00FFFFFF (  16777215) |        0.00 | OCEAN          |     0.50 |       true |
|  11 | minecraft:frozen_river                     | FrozenRiver             | 0x00FFFFFF (  16777215) |        0.00 | COLD           |     0.50 |       true |
|  12 | minecraft:ice_flats                        | Ice Plains              | 0x00FFFFFF (  16777215) |        0.00 | COLD           |     0.50 |       true |
|  13 | minecraft:ice_mountains                    | Ice Mountains           | 0x00FFFFFF (  16777215) |        0.00 | COLD           |     0.50 |       true |
|  14 | minecraft:mushroom_island                  | MushroomIsland          | 0x00FFFFFF (  16777215) |        0.90 | MEDIUM         |     1.00 |      false |
|  15 | minecraft:mushroom_island_shore            | MushroomIslandShore     | 0x00FFFFFF (  16777215) |        0.90 | MEDIUM         |     1.00 |      false |
|  16 | minecraft:beaches                          | Beach                   | 0x00FFFFFF (  16777215) |        0.80 | MEDIUM         |     0.40 |      false |
|  17 | minecraft:desert_hills                     | DesertHills             | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
|  18 | minecraft:forest_hills                     | ForestHills             | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     0.80 |      false |
|  19 | minecraft:taiga_hills                      | TaigaHills              | 0x00FFFFFF (  16777215) |        0.25 | MEDIUM         |     0.80 |      false |
|  20 | minecraft:smaller_extreme_hills            | Extreme Hills Edge      | 0x00FFFFFF (  16777215) |        0.20 | MEDIUM         |     0.30 |      false |
|  21 | minecraft:jungle                           | Jungle                  | 0x00FFFFFF (  16777215) |        0.95 | MEDIUM         |     0.90 |      false |
