+----------------------------------------------------+------------------------------------------------------------+---------+----------+---------+-----------+--------------------------------------------------------------+--------+---------------------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+----------------------------------------------------+------------------------------------------------------------+---------+----------+---------+-----------+--------------------------------------------------------------+--------+---------------------------------------------------------------------------+
| Mod name                                           | Registry name                                              | BlockID | Subtypes | Item ID | Item meta | Display name                                                 | Exists | Ore Dict keys                                                             |
+----------------------------------------------------+------------------------------------------------------------+---------+----------+---------+-----------+--------------------------------------------------------------+--------+---------------------------------------------------------------------------+
| Actually Additions                                 | actuallyadditions:blockAtomicReconstructor                 |     230 |    false |    4126 |         0 | Atomic Reconstructor                                         | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockBioReactor                          |     221 |    false |    4117 |         0 | Bio Reactor                                                  | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockBlackLotus                          |     233 |    false |    4129 |         0 | Black Lotus                                                  | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockBreaker                             |     291 |    false |    4186 |         0 | Auto-Breaker                                                 | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockCanola                              |     272 |    false |    4167 |         0 | Canola Plant                                                 | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockCanolaOil                           |     308 |    false |    4203 |         0 | Canola Oil                                                   | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockCanolaPress                         |     261 |    false |    4156 |         0 | Canola Press                                                 | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockChiseledQuartzSlab                  |     306 |    false |    4201 |         0 | Chiseled Black Quartz Slab                                   | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockChiseledQuartzStair                 |     303 |    false |    4198 |         0 | Chiseled Black Quartz Stairs                                 | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockChiseledQuartzWall                  |     300 |    false |    4195 |         0 | Chiseled Black Quartz Wall                                   | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockCoalGenerator                       |     268 |    false |    4163 |         0 | Coal Generator                                               | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockCoffee                              |     274 |    false |    4169 |         0 | Coffee Plant                                                 | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockCoffeeMachine                       |     296 |    false |    4191 |         0 | Coffee Maker                                                 | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         0 | White Lamp                                                   | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         1 | Orange Lamp                                                  | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         2 | Magenta Lamp                                                 | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         3 | Light Blue Lamp                                              | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         4 | Yellow Lamp                                                  | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         5 | Lime Lamp                                                    | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         6 | Pink Lamp                                                    | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         7 | Gray Lamp                                                    | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         8 | Light Gray Lamp                                              | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |         9 | Cyan Lamp                                                    | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |        10 | Purple Lamp                                                  | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |        11 | Blue Lamp                                                    | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |        12 | Brown Lamp                                                   | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |        13 | Green Lamp                                                   | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |        14 | Red Lamp                                                     | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLamp                         |     253 |     true |    4149 |        15 | Black Lamp                                                   | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         0 | White Lamp (On)                                              | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         1 | Orange Lamp (On)                                             | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         2 | Magenta Lamp (On)                                            | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         3 | Light Blue Lamp (On)                                         | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         4 | Yellow Lamp (On)                                             | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         5 | Lime Lamp (On)                                               | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         6 | Pink Lamp (On)                                               | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         7 | Gray Lamp (On)                                               | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         8 | Light Gray Lamp (On)                                         | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |         9 | Cyan Lamp (On)                                               | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |        10 | Purple Lamp (On)                                             | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |        11 | Blue Lamp (On)                                               | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |        12 | Brown Lamp (On)                                              | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |        13 | Green Lamp (On)                                              | true   |                                                                           |
| Actually Additions                                 | actuallyadditions:blockColoredLampOn                       |     254 |     true |    4150 |        14 | Red Lamp (On)                                                | true   |                                                                           |
