+----------------------+----------------------------------------------------+-------------------------------------------+------------------------------+--------+
| Mod ID               | Mod name                                           | Entity name                               | Entity class name            |     ID |
+----------------------+----------------------------------------------------+-------------------------------------------+------------------------------+--------+
| BiomesOPlenty        | Biomes O' Plenty                                   | BiomesOPlenty.butterfly                   | EntityButterfly              |      5 |
| BiomesOPlenty        | Biomes O' Plenty                                   | BiomesOPlenty.mudball                     | EntityMudball                |      1 |
| BiomesOPlenty        | Biomes O' Plenty                                   | BiomesOPlenty.pixie                       | EntityPixie                  |      3 |
| BiomesOPlenty        | Biomes O' Plenty                                   | BiomesOPlenty.snail                       | EntitySnail                  |      4 |
| BiomesOPlenty        | Biomes O' Plenty                                   | BiomesOPlenty.wasp                        | EntityWasp                   |      2 |
| Botania              | Botania                                            | Botania.botania:babylonWeapon             | EntityBabylonWeapon          |     17 |
| Botania              | Botania                                            | Botania.botania:corporeaSpark             | EntityCorporeaSpark          |     11 |
| Botania              | Botania                                            | Botania.botania:doppleganger              | EntityDoppleganger           |      5 |
| Botania              | Botania                                            | Botania.botania:enderAirBottle            | EntityEnderAirBottle         |     12 |
| Botania              | Botania                                            | Botania.botania:fallingStar               | EntityFallingStar            |     18 |
| Botania              | Botania                                            | Botania.botania:flameRing                 | EntityFlameRing              |      3 |
| Botania              | Botania                                            | Botania.botania:magicLandmine             | EntityMagicLandmine          |      6 |
| Botania              | Botania                                            | Botania.botania:magicMissile              | EntityMagicMissile           |      9 |
| Botania              | Botania                                            | Botania.botania:manaBurst                 | EntityManaBurst              |      0 |
| Botania              | Botania                                            | Botania.botania:manaStorm                 | EntityManaStorm              |     16 |
| Botania              | Botania                                            | Botania.botania:pinkWither                | EntityPinkWither             |     14 |
| Botania              | Botania                                            | Botania.botania:pixie                     | EntityPixie                  |      2 |
| Botania              | Botania                                            | Botania.botania:playerMover               | EntityPlayerMover            |     15 |
| Botania              | Botania                                            | Botania.botania:poolMinecart              | EntityPoolMinecart           |     13 |
| Botania              | Botania                                            | Botania.botania:signalFlare               | EntitySignalFlare            |      1 |
| Botania              | Botania                                            | Botania.botania:spark                     | EntitySpark                  |      7 |
| Botania              | Botania                                            | Botania.botania:thornChakram              | EntityThornChakram           |     10 |
| Botania              | Botania                                            | Botania.botania:thrownItem                | EntityThrownItem             |      8 |
| Botania              | Botania                                            | Botania.botania:vineBall                  | EntityVineBall               |      4 |
| EnderIO              | Ender IO                                           | EnderIO.weather_rocket                    | EntityWeatherRocket          |     33 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.ConcussionCreeper                | EntityConcussionCreeper      | 689991 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.DireSlime                        | EntityDireSlime              | 689997 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.DireWolf                         | EntityDireWolf               | 689996 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.Enderminy                        | EntityEnderminy              | 689990 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.EntityOwlEgg                     | EntityOwlEgg                 | 679991 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.EntityPrimedCharge               | EntityPrimedCharge           | 699998 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.FallenKnight                     | EntityFallenKnight           | 689992 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.FallenMount                      | EntityFallenMount            | 689993 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.Owl                              | EntityOwl                    | 689998 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.WitherCat                        | EntityWitherCat              | 689995 |
| EnderZoo             | Ender Zoo                                          | EnderZoo.WitherWitch                      | EntityWitherWitch            | 689994 |
| IC2                  | IndustrialCraft 2                                  | IC2.BoatCarbon                            | EntityBoatCarbon             |      5 |
| IC2                  | IndustrialCraft 2                                  | IC2.BoatElectric                          | EntityBoatElectric           |      7 |
| IC2                  | IndustrialCraft 2                                  | IC2.BoatRubber                            | EntityBoatRubber             |      6 |
| IC2                  | IndustrialCraft 2                                  | IC2.Dynamite                              | EntityDynamite               |      1 |
| IC2                  | IndustrialCraft 2                                  | IC2.Itnt                                  | EntityItnt                   |      3 |
| IC2                  | IndustrialCraft 2                                  | IC2.MiningLaser                           | EntityMiningLaser            |      0 |
| IC2                  | IndustrialCraft 2                                  | IC2.Nuke                                  | EntityNuke                   |      4 |
| IC2                  | IndustrialCraft 2                                  | IC2.Particle                              | EntityParticle               |      8 |
