+----------------------+----------------------------------+-------------------------------------------+------------------------------+--------+
| Mod ID               | Mod name                         | Entity name                               | Entity class name            |     ID |
+----------------------+----------------------------------+-------------------------------------------+------------------------------+--------+
| BloodArsenal         | Blood Arsenal                    | BloodArsenal.SummonedTool                 | EntitySummonedTool           |      0 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.BloodLight                     | EntityBloodLight             |      0 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.CorruptedChicken               | EntityCorruptedChicken       |      8 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.CorruptedSheep                 | EntityCorruptedSheep         |      7 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.CorruptedSpider                | EntityCorruptedSpider        |      9 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.CorruptedZombie                | EntityCorruptedZombie        |      6 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.Meteor                         | EntityMeteor                 |      3 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.Mimic                          | EntityMimic                  |      5 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.SentientSpecter                | EntitySentientSpecter        |      4 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.SoulArrow                      | EntitySentientArrow          |      2 |
| BloodMagic           | Blood Magic: Alchemical Wizardry | BloodMagic.SoulSnare                      | EntitySoulSnare              |      1 |
| Botania              | Botania                          | Botania.botania:babylonWeapon             | EntityBabylonWeapon          |     17 |
| Botania              | Botania                          | Botania.botania:corporeaSpark             | EntityCorporeaSpark          |     11 |
| Botania              | Botania                          | Botania.botania:doppleganger              | EntityDoppleganger           |      5 |
| Botania              | Botania                          | Botania.botania:enderAirBottle            | EntityEnderAirBottle         |     12 |
| Botania              | Botania                          | Botania.botania:fallingStar               | EntityFallingStar            |     18 |
| Botania              | Botania                          | Botania.botania:flameRing                 | EntityFlameRing              |      3 |
| Botania              | Botania                          | Botania.botania:magicLandmine             | EntityMagicLandmine          |      6 |
| Botania              | Botania                          | Botania.botania:magicMissile              | EntityMagicMissile           |      9 |
| Botania              | Botania                          | Botania.botania:manaBurst                 | EntityManaBurst              |      0 |
| Botania              | Botania                          | Botania.botania:manaStorm                 | EntityManaStorm              |     16 |
| Botania              | Botania                          | Botania.botania:pinkWither                | EntityPinkWither             |     14 |
| Botania              | Botania                          | Botania.botania:pixie                     | EntityPixie                  |      2 |
| Botania              | Botania                          | Botania.botania:playerMover               | EntityPlayerMover            |     15 |
| Botania              | Botania                          | Botania.botania:poolMinecart              | EntityPoolMinecart           |     13 |
| Botania              | Botania                          | Botania.botania:signalFlare               | EntitySignalFlare            |      1 |
| Botania              | Botania                          | Botania.botania:spark                     | EntitySpark                  |      7 |
| Botania              | Botania                          | Botania.botania:thornChakram              | EntityThornChakram           |     10 |
| Botania              | Botania                          | Botania.botania:thrownItem                | EntityThrownItem             |      8 |
