+-------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                   |
+-------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------+
| abyssum_fluid                 |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | taiga:molten_abyssum_fluid              |
| acid                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | adinferos:acid                          |
| adamant_fluid                 |    2000 |        1650 |     10000 |         10 | UNCOMMON |     false | taiga:molten_adamant_fluid              |
| advancedalloy                 |    2000 |        1500 |     10000 |         10 | UNCOMMON |     false | -                                       |
| alubrass                      |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_alubrass              |
| aluminum                      |    2000 |         330 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_aluminum              |
| ardite                        |    2000 |         860 |     10000 |         10 | RARE     |     false | tconstruct:molten_ardite                |
| astralsorcery.liquidstarlight |    1001 |         100 |       300 |         15 | EPIC     |     false | astralsorcery:FluidBlockLiquidStarlight |
| astrium_fluid                 |    2000 |         680 |     10000 |         10 | UNCOMMON |     false | taiga:molten_astrium_fluid              |
| aurorium_fluid                |    2000 |         750 |     10000 |         10 | UNCOMMON |     false | taiga:molten_aurorium_fluid             |
| basalt_fluid                  |    2000 |         550 |      6000 |         10 | UNCOMMON |     false | taiga:molten_basalt_fluid               |
| bio.ethanol                   |     790 |         295 |      1000 |          0 | COMMON   |     false | forestry:fluid.bio.ethanol              |
| biodiesel                     |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidBiodiesel     |
| biomass                       |     400 |         295 |      6560 |          0 | COMMON   |     false | forestry:fluid.biomass                  |
| blood                         |    1000 |         420 |      1000 |          0 | COMMON   |     false | tconstruct:blood                        |
| blueslime                     |    1500 |         310 |      1500 |          0 | COMMON   |     false | tconstruct:blueslime                    |
| blutonium                     |    2000 |        1500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_blutonium             |
| boron10                       |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron10              |
| boron11                       |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron11              |
| brass                         |    2000 |         470 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_brass                 |
| bread                         |    2400 |         300 |      4000 |          0 | COMMON   |     false | -                                       |
| bronze                        |    2000 |         475 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_bronze                |
| bsoup                         |    2400 |         300 |      4000 |          0 | COMMON   |     false | -                                       |
| cadmium                       |    2000 |         300 |     10000 |         10 | COMMON   |     false | modernmetals:cadmium                    |
| cake                          |    2400 |         300 |      4000 |          0 | COMMON   |     false | -                                       |
| canolaoil                     |    1000 |         300 |      1000 |          0 | UNCOMMON |     false | actuallyadditions:blockCanolaOil        |
| chrome                        |    2000 |        1600 |     10000 |         10 | UNCOMMON |     false | -                                       |
| chromium                      |    2000 |         769 |     10000 |         10 | COMMON   |     false | modernmetals:chromium                   |
| clay                          |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_clay                  |
| cloud_seed                    |     500 |         300 |       800 |          0 | COMMON   |     false | enderio:blockCloud_seed                 |
| cloud_seed_concentrated       |    1000 |         300 |      1200 |          0 | COMMON   |     false | enderio:blockCloud_seed_concentrated    |
| cobalt                        |    2000 |         950 |     10000 |         10 | RARE     |     false | tconstruct:molten_cobalt                |
| concrete                      |    2400 |         300 |      4000 |          0 | COMMON   |     false | immersiveengineering:fluidConcrete      |
| conductiveiron                |    9000 |        1400 |      3000 |          4 | COMMON   |     false | enderio:blockConductiveiron             |
| constantan                    |    2000 |         518 |     10000 |          0 | COMMON   |     false | immersiveengineering:molten_constantan  |
| cookie                        |    2400 |         300 |      4000 |          0 | COMMON   |     false | -                                       |
| copper                        |    2000 |         542 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_copper                |
| creosote                      |    1100 |         300 |      3000 |          0 | COMMON   |     false | immersiveengineering:fluidCreosote      |
| crystaloil                    |    1000 |         300 |      1000 |          0 | RARE     |     false | actuallyadditions:blockCrystalOil       |
| cyanite                       |     100 |         295 |       100 |          6 | UNCOMMON |     false | bigreactors:cyanite                     |
| darksteel                     |    9000 |        1813 |      3000 |          4 | COMMON   |     false | enderio:blockDarksteel                  |
| deuterium                     |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_deuterium            |
| diesel                        |     789 |         300 |      1750 |          0 | COMMON   |     false | immersivepetroleum:fluid_diesel         |
| dilithium_fluid               |    2000 |        1500 |      5000 |         10 | UNCOMMON |     false | taiga:molten_dilithium_fluid            |
| dirt                          |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dirt                  |
| duranite_fluid                |    2000 |        1400 |     10000 |         10 | UNCOMMON |     false | taiga:molten_duranite_fluid             |
| dyonite_fluid                 |    2000 |         660 |      7000 |         10 | UNCOMMON |     false | taiga:molten_dyonite_fluid              |
| ebonypsi                      |    2000 |        1700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_ebonypsi              |
| eezo_fluid                    |    2000 |         450 |      1000 |          0 | UNCOMMON |     false | taiga:molten_eezo_fluid                 |
| electricalsteel               |    9000 |        1475 |      3000 |          4 | COMMON   |     false | enderio:blockElectricalsteel            |
| electrum                      |    2000 |         500 |     10000 |         10 | EPIC     |     false | tconstruct:molten_electrum              |
| electrumflux                  |    2000 |        1800 |     10000 |         10 | UNCOMMON |     false | -                                       |
| elvenelementium               |    2000 |        1400 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_elvenelementium       |
| emerald                       |    2000 |         999 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_emerald               |
| empoweredoil                  |    1000 |         300 |      1000 |          0 | EPIC     |     false | actuallyadditions:blockEmpoweredOil     |
