+-------------------------------------------------+------------------+-------------------------------------------+---------------------------------------------------------------------------+-----+
| Registry name                                   |         Meta/dmg | Display name                              | Ore Dict Keys                                                             | NBT |
+-------------------------------------------------+------------------+-------------------------------------------+---------------------------------------------------------------------------+-----+
| actuallyadditions:blockMisc                     |                3 | Black Quartz Ore                          | oreQuartzBlack                                                            | -   |
| actuallyadditions:blockMisc                     |                5 | Block of Charcoal                         | blockCharcoal                                                             | -   |
| actuallyadditions:itemCanolaSeed                |                0 | Canola Seeds                              | seedCanola                                                                | -   |
| actuallyadditions:itemCoffeeBeans               |                0 | Coffee Beans                              | cropCoffee                                                                | -   |
| actuallyadditions:itemCoffeeSeed                |                0 | Coffee Seeds                              | seedCoffee                                                                | -   |
| actuallyadditions:itemDust                      |                0 | Crushed Iron                              | dustIron                                                                  | -   |
| actuallyadditions:itemDust                      |                1 | Crushed Gold                              | dustGold                                                                  | -   |
| actuallyadditions:itemDust                      |                2 | Crushed Diamond                           | dustDiamond                                                               | -   |
| actuallyadditions:itemDust                      |                3 | Crushed Emerald                           | dustEmerald                                                               | -   |
| actuallyadditions:itemDust                      |                4 | Crushed Lapis                             | dustLapis                                                                 | -   |
| actuallyadditions:itemDust                      |                5 | Crushed Quartz                            | dustQuartz                                                                | -   |
| actuallyadditions:itemDust                      |                6 | Crushed Coal                              | dustCoal                                                                  | -   |
| actuallyadditions:itemDust                      |                7 | Crushed Black Quartz                      | dustQuartzBlack                                                           | -   |
| actuallyadditions:itemFlaxSeed                  |                0 | Flax Seeds                                | seedFlax                                                                  | -   |
| actuallyadditions:itemFood                      |               16 | Rice                                      | cropRice                                                                  | -   |
| actuallyadditions:itemMisc                      |                5 | Black Quartz                              | gemQuartzBlack                                                            | -   |
| actuallyadditions:itemMisc                      |               12 | Rice Slimeball                            | slimeball                                                                 | -   |
| actuallyadditions:itemMisc                      |               13 | Canola                                    | cropCanola                                                                | -   |
| actuallyadditions:itemMisc                      |               17 | Black Dye                                 | dyeBlack                                                                  | -   |
| actuallyadditions:itemRiceSeed                  |                0 | Rice Seeds                                | seedRice                                                                  | -   |
| advancedrocketry:concrete                       |                0 | Concrete                                  | concrete                                                                  | -   |
| advancedrocketry:lens                           |                0 | Basic Lens                                | itemLens                                                                  | -   |
| advancedrocketry:metal0                         |                0 | Titanium Aluminide Block                  | blockTitaniumAluminide                                                    | -   |
| advancedrocketry:metal0                         |                1 | Titanium Iridium Alloy Block              | blockTitaniumIridium                                                      | -   |
| advancedrocketry:misc                           |                1 | Carbon Brick                              | ingotCarbon                                                               | -   |
| advancedrocketry:productdust                    |                0 | Titanium Aluminide Dust                   | dustTitaniumAluminide                                                     | -   |
| advancedrocketry:productdust                    |                1 | Titanium Iridium Alloy Dust               | dustTitaniumIridium                                                       | -   |
| advancedrocketry:productgear                    |                0 | Titanium Aluminide Gear                   | gearTitaniumAluminide                                                     | -   |
| advancedrocketry:productgear                    |                1 | Titanium Iridium Alloy Gear               | gearTitaniumIridium                                                       | -   |
| advancedrocketry:productingot                   |                0 | Titanium Aluminide Ingot                  | ingotTitaniumAluminide                                                    | -   |
| advancedrocketry:productingot                   |                1 | Titanium Iridium Alloy Ingot              | ingotTitaniumIridium                                                      | -   |
| advancedrocketry:productnugget                  |                0 | Titanium Aluminide Nugget                 | nuggetTitaniumAluminide                                                   | -   |
| advancedrocketry:productnugget                  |                1 | Titanium Iridium Alloy Nugget             | nuggetTitaniumIridium                                                     | -   |
| advancedrocketry:productplate                   |                0 | Titanium Aluminide Plate                  | plateTitaniumAluminide                                                    | -   |
