+------------------------------------------------------+--------+
| Registry name                                        |     ID |
+------------------------------------------------------+--------+
| actuallyadditions:coffeeMachine                      |    467 |
| actuallyadditions:crusher                            |    469 |
| actuallyadditions:duhDuhDuhDuuuh                     |    466 |
| actuallyadditions:reconstructor                      |    468 |
| adinferos:abyssportal.ambient                        | 450045 |
| adinferos:abyssportal.travel                         | 450047 |
| adinferos:abyssportal.trigger                        | 450046 |
| adinferos:ambient.spooky                             | 450000 |
| adinferos:entity.blackwidow.death                    | 450030 |
| adinferos:entity.blackwidow.hurt                     | 450029 |
| adinferos:entity.blackwidow.idle                     | 450028 |
| adinferos:entity.curse.death                         | 450021 |
| adinferos:entity.curse.hurt                          | 450020 |
| adinferos:entity.curse.idle                          | 450019 |
| adinferos:entity.ghost.death                         | 450040 |
| adinferos:entity.ghost.dive                          | 450039 |
| adinferos:entity.ghost.idle                          | 450038 |
| adinferos:entity.ghost.spawn                         | 450037 |
| adinferos:entity.glowstoneskeleton.death             | 450033 |
| adinferos:entity.glowstoneskeleton.hurt              | 450032 |
| adinferos:entity.glowstoneskeleton.idle              | 450031 |
| adinferos:entity.infernalchicken.death               | 450036 |
| adinferos:entity.infernalchicken.hurt                | 450035 |
| adinferos:entity.infernalchicken.say                 | 450034 |
| adinferos:entity.infernumavis.angry                  | 450017 |
| adinferos:entity.infernumavis.awaked                 | 450014 |
| adinferos:entity.infernumavis.death                  | 450018 |
| adinferos:entity.infernumavis.hurt                   | 450015 |
| adinferos:entity.infernumavis.sleeping               | 450016 |
| adinferos:entity.obsidiansheepman.angry              | 450043 |
| adinferos:entity.obsidiansheepman.death              | 450044 |
| adinferos:entity.obsidiansheepman.hurt               | 450042 |
| adinferos:entity.obsidiansheepman.idle               | 450041 |
| adinferos:entity.phantom.death                       | 450013 |
| adinferos:entity.phantom.hurt                        | 450012 |
| adinferos:entity.phantom.idle                        | 450011 |
| adinferos:entity.reaper.angry                        | 450023 |
| adinferos:entity.reaper.cloak                        | 450026 |
| adinferos:entity.reaper.death                        | 450025 |
| adinferos:entity.reaper.dodge                        | 450027 |
| adinferos:entity.reaper.hurt                         | 450024 |
| adinferos:entity.reaper.idle                         | 450022 |
| adinferos:entity.summon                              | 450010 |
| adinferos:music.abyss                                | 450005 |
| adinferos:music.death                                | 450002 |
| adinferos:music.herobrine                            | 450004 |
| adinferos:music.infernum_avis                        | 450003 |
| adinferos:music.victory                              | 450001 |
| adinferos:records.awakened                           | 450007 |
| adinferos:records.darkness                           | 450008 |
| adinferos:records.flames                             | 450006 |
| adinferos:records.unknown                            | 450009 |
| animania:angryBull1                                  |    505 |
| animania:angryBull2                                  |    506 |
| animania:angryBull3                                  |    507 |
| animania:bullMoo1                                    |    508 |
| animania:bullMoo2                                    |    509 |
| animania:bullMoo3                                    |    510 |
| animania:bullMoo4                                    |    511 |
| animania:bullMoo5                                    |    512 |
| animania:bullMoo6                                    |    513 |
| animania:bullMoo7                                    |    514 |
| animania:bullMoo8                                    |    515 |
| animania:cluck1                                      |    495 |
| animania:cluck2                                      |    496 |
